team_id,match,in,minute,out
1391,546079,989265,79,959115
1391,546116,989265,84,989264
1391,547006,989265,79,959114
1391,546079,991723,64,959114
1391,546116,991723,63,970515
1391,548767,978200,73,962299
1391,547006,989269,58,978200
1391,548767,989269,64,989264
1391,546079,947750,79,970515
1391,546116,947750,74,962299
1391,547006,947750,58,962299
1391,546079,962299,64,978200
1391,546116,970518,54,978200
1391,546116,970516,55,959115
1391,546079,977369,90,989269
1391,548767,977369,86,970517
1391,548767,970514,70,947750
1391,548767,971784,81,989265
2537,546079,959183,68,990441
2537,546079,964642,85,990436
2537,546117,990441,58,964642
2537,546079,990435,84,969287
2537,546117,990435,63,959169
2537,546117,990436,83,959168
2537,546117,990442,58,959183
2537,548768,970338,76,959183
2537,548768,978030,83,990441
3061,546080,983625,78,983144
3061,547006,983625,65,971280
3061,546080,977994,63,971280
3061,546110,977994,66,981824
3061,547006,977994,69,974230
3061,546080,959311,45,985619
3061,546110,959311,82,989545
3061,547006,959311,88,989545
3061,547006,959313,58,989547
3061,546110,971280,59,983625
3061,546110,989547,59,959313
3061,546080,989550,63,981824
3061,546110,989550,79,974230
3061,547006,989544,89,981824
3061,546080,978389,79,974230
272,546081,989107,66,982968
272,546081,989106,46,989105
272,546081,989114,76,989133
272,547116,989114,70,991450
272,546090,991450,66,989108
272,546090,989110,70,989107
272,547116,989110,70,989107
272,547116,990381,75,989109
272,547116,992762,85,989105
272,546090,991449,57,989114
272,547116,990383,57,989133
272,546081,991451,85,989108
420,548768,990406,54,991428
420,548768,970532,67,990405
420,546116,991428,70,989376
420,549503,991428,57,990406
420,549503,989372,86,991225
420,548768,989372,84,976091
420,549503,970458,82,989366
420,548768,970458,65,989367
420,546081,978106,81,989376
420,546116,978106,68,989367
420,549503,970464,75,975432
420,546081,989370,75,970466
420,546116,990407,82,970466
395,546082,988811,32,991833
395,549503,988811,71,989554
395,546106,988830,45,988829
395,546082,988822,45,988828
395,549503,988822,50,989553
395,546106,988828,76,990982
395,549503,988828,64,990984
395,546082,990983,53,990982
395,546106,991833,55,990983
395,549503,988833,79,993327
395,546106,988825,53,989553
737,546083,990369,64,970893
737,548771,990369,84,990979
737,546083,989763,75,974607
737,546108,989763,79,989765
737,548771,989763,46,970888
737,546108,960097,65,989768
737,546083,990979,53,979786
737,546108,990979,56,990369
737,546083,973169,90,979114
737,546108,973169,57,979786
737,548771,985840,82,979114
737,548771,993694,66,970886
2546,546078,990338,80,990351
2546,546078,990339,62,990348
2546,547155,990339,62,993136
2546,546078,990353,46,990341
2546,547155,990353,67,990338
2546,547155,990361,73,990351
2542,546078,991010,71,981630
2542,546078,990099,62,990095
2542,547078,976153,56,981630
2542,546078,960399,83,974897
264,546107,983810,42,990695
264,546085,990694,74,524415
264,546085,971430,60,970263
264,546085,990698,51,990696
264,546107,990697,73,981793
264,547078,990697,44,981793
264,546085,990693,79,970260
264,547078,990693,72,524415
264,547078,981582,72,983810
264,546085,983808,64,990692
449,547116,991058,87,991087
449,546080,991054,68,991052
449,546080,991056,78,991057
449,547116,991051,26,991052
449,546080,991086,74,991087
449,546080,991085,46,991058
449,547116,979464,56,991054
449,547116,973180,87,960541
449,547116,970285,81,991055
2617,546084,990893,81,976748
2617,546108,990893,67,976748
2617,547289,990893,77,976748
2617,546108,960581,68,979534
2617,546084,979534,76,984175
2617,547289,977574,88,971841
2617,546108,971924,88,960757
2617,546108,960586,67,977642
2617,546084,974178,67,971840
2617,547289,971926,65,960581
3101,546082,972008,67,976972
3101,546117,972008,90,991007
3101,547155,972008,77,991005
3101,546117,971994,63,991001
3101,547155,971994,62,971996
3101,546082,972005,57,985843
3101,546117,972001,46,991004
3101,546117,992194,46,972005
3101,546082,991003,61,971994
3101,547155,993344,83,992194
3101,546082,972060,72,991004
3101,546082,975838,77,972940
3101,547155,972004,83,991007
3062,546090,992078,85,992075
3062,546090,992080,35,992074
3062,546090,992081,70,992072
781,548771,988298,85,927410
781,547198,992739,68,992741
781,548771,988290,82,988292
781,548771,992612,56,989897
781,547198,992738,87,927410
3063,546083,991741,71,991731
3063,546106,991741,86,991725
3063,547241,991741,67,960963
3063,546083,983865,78,991729
3063,546106,983865,77,991729
3063,546106,992345,57,991731
3063,547241,983753,58,991735
3063,546083,991746,86,960957
3063,547241,960963,58,991731
1589,546087,991797,60,991785
1589,548772,991785,65,991787
1589,546087,991798,45,991794
1589,546087,991795,75,991786
1589,548772,991795,30,991779
1589,548772,991784,60,991786
1589,548772,993686,35,991780
3318,546084,990225,63,991696
3318,546084,990227,81,960281
3318,547198,990227,68,990234
3318,546084,990230,55,991711
3318,547198,990230,60,990239
3318,546084,990410,34,990221
3318,547198,990232,62,990224
3318,547198,990220,83,990410
3318,546084,990233,63,990232
3318,547198,992611,60,990235
1176,547289,991390,65,991406
1176,546085,970403,90,970399
1176,546085,991392,50,991390
1176,546110,991400,59,984122
1176,546110,973084,81,991390
1176,547289,982903,81,970395
1176,547289,993185,65,991394
1176,546085,970413,72,991394
1176,546110,991402,77,991394
283,548767,974626,58,961165
283,548767,991751,88,991753
283,548767,993683,57,979329
2465,546088,991703,68,961197
2465,546107,991703,73,970039
2465,547241,961197,89,970041
2465,546088,970042,45,970041
2465,546088,983104,58,961208
2465,546107,983104,64,961208
2465,547241,991699,79,980415
2465,546088,970039,62,991699
2465,546088,991713,73,961198
2465,547241,991713,68,961208
2465,547241,961190,71,970042
2465,547241,993298,90,991703
2465,546107,992377,86,961199
2465,546107,963330,81,970042
