country,iata,publicName,city,latitude,longitude
French Polynes,AAA,"Anaa, TU",,-17.416667,-145.5
Australia,AAB,"Arrabury, QL",,-26.75,141.0
Egypt,AAC,Al-Arish,Al-Arish,31.073333,33.835833
Sudan,AAD,Ad-Dabbah,Ad-Dabbah,17.592778,33.959167
Algeria,AAE,Annaba,Annaba,36.833333,8.0
USA,AAF,"Municipal, FL",Apalachicola,29.733333,-85.033333
Brazil,AAG,"Arapoti, PR",,-24.166667,-49.666667
Germany,AAH,Merzbrueck,Aachen,50.823056,6.186111
Brazil,AAI,"Arraias, TD",,-12.916667,-46.933333
Surinam,AAJ,Cayana Airstrip,Awaradam,3.896667,-55.579167
Kiribati,AAK,Aranuka,,0.216667,174.0
Denmark,AAL,Aalborg,Aalborg,57.1,9.85
South Africa,AAM,Malamala,,-24.8,31.533333
United Arab Emirates (the),AAN,Al Ain,Al Ain,24.261667,55.609167
Venezuela,AAO,"Anaco, AN",,9.416667,-64.466667
USA,AAP,"Andrau Airpark, TX",Houston,29.723889,-95.588333
Russia (CIS),AAQ,Vitiazevo,Anapa,44.9,37.316667
Denmark,AAR,Aarhus,Aarhus,56.307222,10.626111
Indonesia,AAS,Apalapsili,,-3.916667,139.25
China,AAT,Altay,,43.933333,89.5
Samoa,AAU,Asau,,-13.458333,-172.6
Philippines,AAV,Alah,,6.366944,124.751389
Pakistan,AAW,Abbottabad,,34.2,73.25
Brazil,AAX,"Araxa, MG",,-19.568056,-46.929167
Yemen,AAY,Al-Ghaida,,16.2,52.183333
Guatemala,AAZ,Quetzaltenango,,-7.862222,13.116111
Russia,ABA,Abakan,Abakan,53.716667,91.433333
United Kingdom of Great Britain and Northern Ireland,ABB,Abingdon,Abingdon,51.666667,-1.283333
Spain,ABC,Albacete,Albacete,38.983333,-1.85
Iran,ABD,Abadan,Abadan,30.366667,48.233333
USA,ABE,Allentown,Allentown,40.652222,-75.440278
Kiribati,ABF,Abaiang,,1.416667,172.833333
Australia,ABG,"Abingdon, QL",,-17.666667,143.2
Australia,ABH,"Alpha, QL",,-23.7,146.583333
USA,ABI,Abilene,Abilene,32.416667,-99.683333
Côte d'Ivoire,ABJ,Abidjan,Abidjan,5.25,-3.933333
Ethiopia,ABK,Kabre Dare,,6.733333,44.266667
USA,ABL,"Ambler, AK",,67.1,-157.816667
Australia,ABM,"Bamaga, QL",,-10.950833,142.459444
Surinam,ABN,Albina,,5.483333,-54.05
Côte d'Ivoire,ABO,Aboisso,,5.466667,-3.2
Papua New Guin,ABP,Atkamba,,-6.066667,141.1
USA,ABQ,Albuquerque,Albuquerque,35.040278,-106.609167
USA,ABR,"Regional, SD",Aberdeen,45.45,-98.433333
Egypt,ABS,Abu Simpel,Abu Simpel,22.366667,31.616667
Saudi Arabia,ABT,Al-bayaah,Al-Bayaah,22.833333,42.216667
Indonesia,ABU,Haliwen,Atambua,-9.333333,124.9
Nigeria,ABV,Abuja,Abuja,9.006667,7.263056
Papua New Guin,ABW,Abau,,-10.166667,148.7
Australia,ABX,"Albury, NS",,-36.066667,146.95
USA,ABY,Albany,Albany,31.533333,-84.2
United Kingdom of Great Britain and Northern Ireland,ABZ,Aberdeen,Aberdeen,57.2,-2.2
Mexico,ACA,Acapulco,Acapulco,16.756944,-99.753611
USA,ACB,"Antrim County, MI",Bellaire,44.983333,-85.202778
Ghana,ACC,Accra,Accra,5.6,-0.166667
Colombia,ACD,"Acandi, CH",,8.5,-73.633333
Spain,ACE,Arrecife,Lanzarote,28.945556,-13.605278
Switzerland,ACH,Altenrhein,Altenrhein,47.483333,9.55
United Kingdom of Great Britain and Northern Ireland,ACI,Alderney,Alderney,49.7,-2.216667
USA,ACK,Nantucket,Nantucket,41.266667,-70.066667
Colombia,ACL,Aguaclara,,4.75,-73.0
Colombia,ACM,Arica,,-2.133333,-71.783333
Mexico,ACN,Int'l,Ciudad Acuna,29.3,-100.916667
Switzerland,ACO,Ascona,Ascona,46.159444,8.766667
Colombia,ACR,"Araracuara, CQ",,-0.383333,-72.3
Russia (CIS),ACS,Achinsk,,56.266667,90.566667
USA,ACT,"Regional, TX",Waco,31.616667,-97.233333
Panama,ACU,Achutupo,,8.433333,-77.966667
USA,ACV,Arcata,Arcata,40.983333,-124.1
USA,ACY,Atlantic City,Atlantic City,39.466667,-74.583333
Türkiye,ADA,Adana,Adana,36.982222,35.280278
Türkiye,ADB,Izmir,Izmir,38.2925,27.156944
Ethiopia,ADD,Addis Abeba,Addis Ababa,8.977778,38.799444
Yemen,ADE,Aden,Aden,16.038611,49.484444
Türkiye,ADF,Adiyaman,Adiyaman,37.916667,34.65
USA,ADG,"Lenawee County, MI",Adrian,41.9,-84.033333
Russia (CIS),ADH,Aldan,,58.6,125.4
Namibia,ADI,Arandis,,-22.4,15.0
Jordania,ADJ,Amman,Amman,31.972778,35.991667
USA,ADK,"Adak NAF, AK",Adak Island,51.878056,-176.646111
Australia,ADL,Adelaide,Adelaide,-34.945,138.530556
USA,ADM,"Municipal, OK",Ardmore,34.966667,-86.883333
Colombia,ADN,"Andes, AN",,5.666667,-75.883333
Australia,ADO,"Andamooka, SA",,-30.437778,137.137222
Sri Lanka,ADP,Anuradhapura,,8.3,80.416667
USA,ADQ,"Kodiak, AK",,57.75,-152.483333
USA,ADR,Andrews Sc,Andrews Sc,33.45,-79.566667
USA,ADS,"Addison, TX",Dallas,32.968611,-96.836389
USA,ADT,"Ada, OK",,,
Iran,ADU,Ardabil,,38.249444,48.301389
United Kingdom of Great Britain and Northern Ireland,ADV,Andover,Andover,51.216667,-1.466667
USA,ADW,Camp Springs MD,Camp Springs MD,38.8,-76.916667
United Kingdom of Great Britain and Northern Ireland,ADX,Leuchars,Leuchars,56.366667,-2.866667
South Africa,ADY,Alldays,,-22.666667,29.1
Colombia,ADZ,"Sesquicentenario, SA",San Andres,12.583333,-81.7
Kiribati,AEA,Abemama Atoll,,0.483333,173.85
USA,AED,"Aleneva, AK",,-0.6,10.083333
Indonesia,AEG,Aek Godang,,1.383333,99.45
Chad,AEH,Abecher,Abecher,13.85,20.85
Papua New Guin,AEK,Aseki,,-7.366667,146.283333
USA,AEL,"Albert Lea, MN",,43.683333,-93.366667
Mauritania,AEO,Aioun El Atrouss,,16.7,-9.65
Argentina,AEP,Buenos Aires,Buenos Aires,-34.559167,-58.415556
Russia,AER,Sochi,Adler/Sochi,43.45,39.933333
Norway,AES,Aalesund,Aalesund,62.560278,6.1
USA,AET,"Allakaket, AK",,66.55,-152.65
USA,AEX,"Int'l, LA",Alexandria,31.3275,-92.548611
